iter	F1:class=0_TP	F1:class=0_TP+FP	F1:class=0_TP+FN	F1:class=1_TP	F1:class=1_TP+FP	F1:class=1_TP+FN
183	50234	50518	50255	174	195	458
184	50234	50519	50255	173	194	458
185	50234	50520	50255	172	193	458
186	50234	50521	50255	171	192	458
187	50234	50518	50255	174	195	458
188	50234	50518	50255	174	195	458
189	50234	50518	50255	174	195	458
190	50234	50518	50255	174	195	458
191	50234	50519	50255	173	194	458
192	50234	50519	50255	173	194	458
193	50234	50517	50255	175	196	458
194	50234	50517	50255	175	196	458
195	50234	50518	50255	174	195	458
196	50234	50518	50255	174	195	458
197	50234	50517	50255	175	196	458
198	50233	50517	50255	174	196	458
199	50233	50517	50255	174	196	458
200	50234	50518	50255	174	195	458
201	50234	50518	50255	174	195	458
202	50234	50518	50255	174	195	458
203	50234	50518	50255	174	195	458
204	50234	50518	50255	174	195	458
205	50234	50518	50255	174	195	458
206	50234	50517	50255	175	196	458
207	50234	50517	50255	175	196	458
208	50233	50516	50255	175	197	458
209	50233	50516	50255	175	197	458
210	50233	50516	50255	175	197	458
211	50233	50516	50255	175	197	458
212	50233	50516	50255	175	197	458
213	50232	50514	50255	176	199	458
214	50232	50514	50255	176	199	458
215	50232	50514	50255	176	199	458
216	50232	50514	50255	176	199	458
217	50233	50515	50255	176	198	458
218	50233	50515	50255	176	198	458
219	50233	50515	50255	176	198	458
220	50232	50513	50255	177	200	458
221	50233	50514	50255	177	199	458
222	50233	50514	50255	177	199	458
223	50233	50513	50255	178	200	458
224	50233	50513	50255	178	200	458
225	50233	50513	50255	178	200	458
226	50233	50513	50255	178	200	458
227	50233	50514	50255	177	199	458
228	50233	50514	50255	177	199	458
229	50233	50512	50255	179	201	458
230	50234	50513	50255	179	200	458
231	50234	50513	50255	179	200	458
232	50234	50513	50255	179	200	458
233	50234	50513	50255	179	200	458
234	50234	50513	50255	179	200	458
235	50234	50513	50255	179	200	458
236	50234	50512	50255	180	201	458
237	50234	50514	50255	178	199	458
238	50234	50513	50255	179	200	458
239	50234	50513	50255	179	200	458
240	50234	50513	50255	179	200	458
241	50234	50513	50255	179	200	458
242	50234	50513	50255	179	200	458
243	50234	50513	50255	179	200	458
244	50234	50513	50255	179	200	458
245	50233	50510	50255	181	203	458
246	50233	50509	50255	182	204	458
247	50233	50509	50255	182	204	458
248	50233	50510	50255	181	203	458
249	50233	50510	50255	181	203	458
250	50233	50510	50255	181	203	458
251	50233	50510	50255	181	203	458
252	50233	50510	50255	181	203	458
253	50233	50510	50255	181	203	458
254	50233	50509	50255	182	204	458
255	50233	50509	50255	182	204	458
256	50233	50509	50255	182	204	458
257	50233	50508	50255	183	205	458
258	50232	50508	50255	182	205	458
259	50232	50509	50255	181	204	458
260	50232	50508	50255	182	205	458
261	50232	50508	50255	182	205	458
262	50232	50508	50255	182	205	458
263	50232	50508	50255	182	205	458
264	50232	50506	50255	184	207	458
265	50232	50506	50255	184	207	458
266	50232	50507	50255	183	206	458
267	50232	50505	50255	185	208	458
268	50231	50504	50255	185	209	458
269	50231	50505	50255	184	208	458
270	50231	50504	50255	185	209	458
271	50231	50504	50255	185	209	458
272	50231	50505	50255	184	208	458
273	50232	50505	50255	185	208	458
274	50232	50503	50255	187	210	458
275	50232	50504	50255	186	209	458
276	50232	50505	50255	185	208	458
277	50232	50503	50255	187	210	458
278	50232	50503	50255	187	210	458
279	50232	50502	50255	188	211	458
280	50232	50504	50255	186	209	458
281	50232	50503	50255	187	210	458
282	50232	50500	50255	190	213	458
283	50232	50500	50255	190	213	458
284	50232	50497	50255	193	216	458
285	50232	50498	50255	192	215	458
286	50232	50497	50255	193	216	458
287	50232	50497	50255	193	216	458
288	50232	50497	50255	193	216	458
289	50232	50497	50255	193	216	458
290	50232	50497	50255	193	216	458
291	50232	50498	50255	192	215	458
292	50232	50498	50255	192	215	458
293	50232	50500	50255	190	213	458
294	50232	50499	50255	191	214	458
295	50232	50499	50255	191	214	458
296	50232	50496	50255	194	217	458
297	50232	50498	50255	192	215	458
298	50231	50498	50255	191	215	458
299	50231	50497	50255	192	216	458
300	50231	50497	50255	192	216	458
301	50232	50498	50255	192	215	458
302	50231	50497	50255	192	216	458
303	50231	50496	50255	193	217	458
304	50231	50495	50255	194	218	458
305	50231	50492	50255	197	221	458
306	50231	50493	50255	196	220	458
307	50231	50492	50255	197	221	458
308	50231	50493	50255	196	220	458
309	50231	50493	50255	196	220	458
310	50231	50493	50255	196	220	458
311	50231	50494	50255	195	219	458
312	50231	50494	50255	195	219	458
313	50232	50494	50255	196	219	458
314	50232	50494	50255	196	219	458
315	50232	50494	50255	196	219	458
316	50232	50493	50255	197	220	458
317	50231	50493	50255	196	220	458
318	50230	50493	50255	195	220	458
319	50230	50492	50255	196	221	458
320	50231	50493	50255	196	220	458
321	50231	50491	50255	198	222	458
322	50231	50491	50255	198	222	458
323	50231	50490	50255	199	223	458
324	50230	50490	50255	198	223	458
325	50230	50489	50255	199	224	458
326	50230	50486	50255	202	227	458
327	50230	50487	50255	201	226	458
328	50230	50487	50255	201	226	458
329	50230	50488	50255	200	225	458
330	50230	50488	50255	200	225	458
331	50231	50489	50255	200	224	458
332	50231	50488	50255	201	225	458
333	50231	50488	50255	201	225	458
334	50231	50486	50255	203	227	458
335	50231	50486	50255	203	227	458
336	50231	50486	50255	203	227	458
337	50231	50487	50255	202	226	458
338	50231	50487	50255	202	226	458
339	50231	50487	50255	202	226	458
340	50231	50484	50255	205	229	458
341	50231	50483	50255	206	230	458
342	50231	50483	50255	206	230	458
343	50231	50484	50255	205	229	458
344	50231	50484	50255	205	229	458
345	50231	50484	50255	205	229	458
346	50231	50484	50255	205	229	458
